year_number,month_number,month_label,sales_invoices,cancelled_invoices,cancellation_rate_percent,cancelled_value
2009,12,2009-12,1682,401,19.25,25835.45
2010,1,2010-01,1105,300,21.35,28675.61
2010,2,2010-02,1201,240,16.66,20239.36
2010,3,2010-03,1681,407,19.49,67668.02
2010,4,2010-04,1462,304,17.21,37354.2
2010,5,2010-05,1500,407,21.34,44434.78
2010,6,2010-06,1645,357,17.83,72463.44
2010,7,2010-07,1529,344,18.37,31444.79
2010,8,2010-08,1425,273,16.08,40477.52
2010,9,2010-09,1839,371,16.79,70591.03
2010,10,2010-10,2301,476,17.14,81290.74
2010,11,2010-11,2747,576,17.33,47595.94
2010,12,2010-12,1559,326,17.29,74729.12
2011,1,2011-01,1086,260,19.32,131363.05
2011,2,2011-02,1100,219,16.6,25519.15
2011,3,2011-03,1454,318,17.95,34201.28
2011,4,2011-04,1246,240,16.15,44600.65
2011,5,2011-05,1681,314,15.74,47202.51
2011,6,2011-06,1533,329,17.67,70569.78
2011,7,2011-07,1475,270,15.47,37919.13
2011,8,2011-08,1361,278,16.96,54330.8
2011,9,2011-09,1837,333,15.35,38838.51
2011,10,2011-10,2040,362,15.07,81895.5
2011,11,2011-11,2769,441,13.74,47720.98
2011,12,2011-12,819,146,15.13,205089.27
