country,revenue,orders,units_sold,customers,average_order_value,revenue_rank
United Kingdom,17410196.12,36535,9187753.0,5350,476.53,1
EIRE,658767.31,626,336329.0,5,1052.34,2
Netherlands,554038.09,228,383879.0,22,2429.99,3
Germany,425019.71,789,225154.0,107,538.68,4
France,350456.09,622,271901.0,95,563.43,5
Australia,169283.46,95,103759.0,15,1781.93,6
Spain,108332.49,154,50307.0,41,703.46,7
Switzerland,100685.59,93,52762.0,22,1082.64,8
Sweden,91869.82,105,88633.0,19,874.95,9
Denmark,68580.69,43,237471.0,12,1594.9,10
Belgium,65387.82,149,34768.0,29,438.84,11
Norway,56322.5,45,23621.0,13,1251.61,12
Portugal,56283.53,95,27719.0,24,592.46,13
Channel Islands,44623.33,55,21396.0,13,811.33,14
Japan,43023.91,33,31643.0,10,1303.75,15
Italy,32108.17,65,15312.0,17,493.97,16
Finland,29925.54,57,14375.0,14,525.01,17
Singapore,25317.06,11,6994.0,1,2301.55,18
Cyprus,24849.95,37,10950.0,11,671.62,19
Hong Kong,23685.52,15,7021.0,0,1579.03,20
Austria,23613.01,45,11578.0,13,524.73,21
Greece,19096.19,18,7724.0,5,1060.9,22
Israel,11328.81,10,5538.0,4,1132.88,23
United Arab Emirates,11097.63,16,7321.0,4,693.6,24
Unspecified,10927.16,24,6729.0,6,455.3,25
Poland,10654.29,28,5688.0,6,380.51,26
USA,8366.86,20,5264.0,9,418.34,27
Malta,8099.09,9,2519.0,2,899.9,28
Iceland,4921.53,8,2967.0,1,615.19,29
Lithuania,4892.68,6,2306.0,1,815.45,30
Canada,4883.04,8,3657.0,5,610.38,31
RSA,4804.32,4,1970.0,2,1201.08,32
Bahrain,3109.79,10,1339.0,2,310.98,33
Thailand,3070.54,2,2552.0,1,1535.27,34
Lebanon,1905.58,2,458.0,1,952.79,35
Brazil,1411.87,2,545.0,2,705.94,36
European Community,1300.25,4,499.0,1,325.06,37
Bermuda,1253.14,1,2798.0,0,1253.14,38
Korea,1118.51,2,700.0,2,559.26,39
Czech Republic,826.74,2,671.0,1,413.37,40
West Indies,536.41,1,395.0,1,536.41,41
Saudi Arabia,145.92,1,80.0,1,145.92,42
Nigeria,140.39,2,103.0,1,70.2,43
