customer_id,revenue,orders,units_purchased,products_purchased,first_purchase_date,latest_purchase_date,customer_segment
14911,291420.81,398,147972.0,2550,2009-12-01,2011-12-08,High Value
12748,53539.64,336,37109.0,2286,2009-12-04,2011-12-09,High Value
17841,68545.25,211,36584.0,2116,2009-12-02,2011-12-08,High Value
15311,114966.42,208,70149.0,864,2009-12-01,2011-12-09,High Value
13089,113416.91,203,58932.0,857,2009-12-02,2011-12-07,High Value
14606,29951.37,192,15217.0,1262,2009-12-03,2011-12-08,High Value
14156,313437.62,156,164325.0,1446,2009-12-01,2011-11-30,High Value
17850,51208.87,155,21052.0,100,2009-12-05,2010-12-02,High Value
14646,528602.52,151,367193.0,961,2009-12-02,2011-12-08,High Value
18102,580987.04,145,181645.0,382,2009-12-01,2011-12-09,High Value
13694,195640.69,143,188201.0,896,2009-12-04,2011-12-06,High Value
15061,126389.02,127,74280.0,131,2009-12-01,2011-12-06,High Value
14527,27246.88,122,6647.0,607,2009-12-02,2011-12-07,High Value
17949,117314.08,118,60538.0,58,2009-12-02,2011-12-08,High Value
12971,15704.6,116,14306.0,102,2009-12-15,2011-12-06,High Value
13798,75428.87,110,48187.0,168,2009-12-08,2011-12-08,High Value
16422,61920.87,109,64225.0,111,2010-01-12,2011-11-22,High Value
16029,117763.62,107,54450.0,57,2009-12-08,2011-11-01,High Value
13408,50174.78,106,28675.0,321,2009-12-04,2011-12-08,High Value
17961,2866.74,100,1491.0,486,2009-12-01,2011-11-18,High Value
15039,39141.48,93,17780.0,562,2009-12-10,2011-11-30,High Value
16013,56078.44,84,25520.0,54,2009-12-08,2011-12-06,High Value
14298,91194.49,82,100272.0,1370,2009-12-11,2011-12-01,High Value
12471,39918.19,79,16858.0,255,2009-12-07,2011-12-07,High Value
17377,17644.27,78,7335.0,505,2009-12-02,2011-11-16,High Value
12921,35233.24,74,21328.0,322,2009-12-01,2011-11-30,High Value
13767,33903.57,73,14595.0,117,2009-12-01,2011-12-07,High Value
13468,12793.28,72,5617.0,290,2009-12-03,2011-12-08,High Value
17675,37642.48,70,16180.0,345,2009-12-10,2011-12-08,High Value
17243,20203.58,69,7932.0,359,2009-12-01,2011-12-08,High Value
13199,15964.21,67,11567.0,61,2009-12-05,2011-12-06,High Value
16168,10360.67,66,4975.0,131,2009-12-03,2011-11-29,High Value
17389,57215.33,61,17880.0,63,2009-12-04,2011-12-09,High Value
13777,49638.26,61,23190.0,44,2009-12-02,2011-12-09,High Value
17511,172132.87,60,117174.0,657,2009-12-02,2011-12-07,High Value
14680,55688.5,58,26894.0,222,2009-12-04,2011-11-14,High Value
13319,21323.22,58,8974.0,345,2009-12-06,2011-12-04,High Value
12931,92347.34,57,62906.0,37,2009-12-01,2011-11-18,High Value
13078,29018.06,57,12032.0,153,2009-12-01,2011-12-06,High Value
16133,22992.26,56,13653.0,303,2010-03-31,2011-12-06,High Value
15005,13754.58,56,8666.0,591,2009-12-01,2011-11-24,High Value
14735,12240.16,56,4513.0,198,2009-12-04,2011-12-06,High Value
17757,9074.05,56,5011.0,362,2010-01-13,2011-12-08,High Value
16684,147142.77,55,104810.0,184,2009-12-07,2011-12-05,High Value
13093,54144.25,55,25971.0,199,2009-12-04,2011-03-09,High Value
17677,35058.46,54,20921.0,346,2009-12-16,2011-12-08,High Value
17920,23581.78,54,12265.0,715,2009-12-06,2011-12-05,High Value
14667,20395.34,54,11939.0,578,2009-12-02,2011-11-29,High Value
16779,32809.03,53,19411.0,293,2009-12-03,2011-12-07,High Value
15078,17286.73,53,8777.0,118,2009-12-04,2011-12-02,High Value
