transaction_key,invoice,full_date,stock_code,description,country,quantity,unit_price,line_value,transaction_type,record_status
179,C489449,2009-12-01,22087,PAPER BUNTING WHITE LACE,Australia,-12,2.95,-35.4,Cancellation,Valid
180,C489449,2009-12-01,85206A,,Australia,-6,1.65,-9.9,Cancellation,Valid
181,C489449,2009-12-01,21895,,Australia,-4,4.25,-17.0,Cancellation,Valid
182,C489449,2009-12-01,21896,POTTING SHED TWINE,Australia,-6,2.1,-12.6,Cancellation,Valid
183,C489449,2009-12-01,22083,PAPER CHAIN KIT RETROSPOT,Australia,-12,2.95,-35.4,Cancellation,Valid
184,C489449,2009-12-01,21871,SAVE THE PLANET MUG,Australia,-12,1.25,-15.0,Cancellation,Valid
185,C489449,2009-12-01,84946,ANTIQUE SILVER T-LIGHT GLASS,Australia,-12,1.25,-15.0,Cancellation,Valid
186,C489449,2009-12-01,84970s,HANGING HEART ZINC T-LIGHT HOLDER,Australia,-24,0.85,-20.4,Cancellation,Valid
187,C489449,2009-12-01,22090,PAPER BUNTING RETROSPOT,Australia,-12,2.95,-35.4,Cancellation,Valid
197,C489459,2009-12-01,90200A,PURPLE SWEETHEART BRACELET,United Kingdom,-3,4.25,-12.75,Cancellation,Valid
198,C489459,2009-12-01,90200D,PINK SWEETHEART BRACELET,United Kingdom,-3,4.25,-12.75,Cancellation,Valid
199,C489459,2009-12-01,90200B,BLACK SWEETHEART BRACELET,United Kingdom,-3,4.25,-12.75,Cancellation,Valid
200,C489459,2009-12-01,90200E,GREEN SWEETHEART BRACELET,United Kingdom,-3,4.25,-12.75,Cancellation,Valid
201,C489459,2009-12-01,90200C,BLUE SWEETHEART BRACELET,United Kingdom,-3,4.25,-12.75,Cancellation,Valid
202,C489459,2009-12-01,90185C,BLACK DIAMANTE EXPANDABLE RING,United Kingdom,-3,4.25,-12.75,Cancellation,Valid
203,C489459,2009-12-01,90185B,AMETHYST DIAMANTE EXPANDABLE RING,United Kingdom,-3,4.25,-12.75,Cancellation,Valid
204,C489459,2009-12-01,90003C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,United Kingdom,-3,3.75,-11.25,Cancellation,Valid
205,C489459,2009-12-01,90003D,CRYSTAL PAIR HEART HAIR SLIDES,United Kingdom,-3,3.75,-11.25,Cancellation,Valid
206,C489459,2009-12-01,90003B,ROSE COLOUR PAIR HEART HAIR SLIDES,United Kingdom,-3,3.75,-11.25,Cancellation,Valid
207,C489459,2009-12-01,90209C,PINK ENAMEL+GLASS HAIR COMB,United Kingdom,-3,2.1,-6.3,Cancellation,Valid
208,C489459,2009-12-01,90209A,PURPLE ENAMEL+GLASS HAIR COMB,United Kingdom,-3,2.1,-6.3,Cancellation,Valid
