year_number,month_number,month_name,month_label,revenue,orders,units_sold,customers,average_order_value,monthly_growth_percent
2009,12,December,2009-12,822483.95,1682,425461.0,955,488.99,
2010,1,January,2010-01,651155.11,1105,390672.0,720,589.28,-20.83
2010,2,February,2010-02,551504.73,1201,381879.0,772,459.2,-15.3
2010,3,March,2010-03,830915.26,1681,526026.0,1057,494.3,50.66
2010,4,April,2010-04,678875.25,1462,366705.0,942,464.35,-18.3
2010,5,May,2010-05,657705.5,1500,395868.0,966,438.47,-3.12
2010,6,June,2010-06,749537.31,1645,406820.0,1041,455.65,13.96
2010,7,July,2010-07,648810.27,1529,337895.0,928,424.34,-13.44
2010,8,August,2010-08,695251.91,1425,472380.0,911,487.9,7.16
2010,9,September,2010-09,921696.99,1839,583864.0,1145,501.19,32.57
2010,10,October,2010-10,1161902.22,2301,619996.0,1497,504.96,26.06
2010,11,November,2010-11,1464293.14,2747,725161.0,1607,533.05,26.03
2010,12,December,2010-12,821452.73,1559,358019.0,885,526.91,-43.9
2011,1,January,2011-01,689811.61,1086,387099.0,741,635.19,-16.03
2011,2,February,2011-02,522545.56,1100,282934.0,758,475.04,-24.25
2011,3,March,2011-03,716215.26,1454,376599.0,974,492.58,37.06
2011,4,April,2011-04,536968.49,1246,307953.0,856,430.95,-25.03
2011,5,May,2011-05,769296.61,1681,395001.0,1056,457.64,43.27
2011,6,June,2011-06,760547.01,1533,388511.0,991,496.12,-1.14
2011,7,July,2011-07,718076.12,1475,399693.0,949,486.83,-5.58
2011,8,August,2011-08,757841.38,1361,421020.0,935,556.83,5.54
2011,9,September,2011-09,1056435.19,1837,569573.0,1266,575.09,39.4
2011,10,October,2011-10,1151263.73,2040,621029.0,1364,564.34,8.98
2011,11,November,2011-11,1503866.78,2769,751377.0,1664,543.11,30.63
2011,12,December,2011-12,637808.33,819,313613.0,615,778.76,-57.59
