stock_code,description,revenue,units_sold,orders,customers,revenue_rank
M,Manual,339241.29,9634.0,788,438,1
22423,REGENCY CAKESTAND 3 TIER,330590.32,26478.0,3918,1314,2
DOT,DOTCOM POSTAGE,309854.11,1415.0,1415,1,3
85123A,CREAM HANGING HEART T-LIGHT HOLDER,261168.73,94719.0,5464,1490,4
85099B,JUMBO BAG RED RETROSPOT,182680.98,97176.0,4013,978,5
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995.0,1,1,6
47566,PARTY BUNTING,148318.28,28200.0,2674,894,7
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49,80082.0,2807,1010,8
POST,POSTAGE,125682.42,5363.0,1851,405,9
22086,PAPER CHAIN KIT 50'S CHRISTMAS,117760.29,35084.0,2018,896,10
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92,78033.0,247,138,11
79321,CHILLI LIGHTS,80540.88,15841.0,1135,304,12
22197,POPCORN HOLDER,79520.2,88499.0,2322,601,13
22386,JUMBO BAG PINK POLKADOT,76324.62,39437.0,2245,601,14
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409.0,756,300,15
20725,LUNCH BAG RED RETROSPOT,71106.29,40317.0,3056,845,16
85099F,JUMBO BAG STRAWBERRY,69002.13,37061.0,1855,549,17
48138,DOORMAT UNION FLAG,67010.31,10077.0,1664,678,18
23084,RABBIT NIGHT LIGHT,66870.03,30739.0,994,450,19
20685,DOORMAT RED RETROSPOT,66417.47,9783.0,1725,626,20
21137,BLACK RECORD COVER FRAME,65189.29,18739.0,634,198,21
21843,RED RETROSPOT CAKE STAND,64918.3,6128.0,1527,599,22
21931,JUMBO STORAGE BAG SUKI,61537.55,29182.0,2329,546,23
22502,PICNIC BASKET WICKER SMALL,60880.3,3766.0,924,335,24
21621,VINTAGE UNION JACK BUNTING,60286.04,6900.0,1292,583,25
15056N,EDWARDIAN PARASOL NATURAL,60145.85,11459.0,1149,347,26
22114,HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,11677.0,1583,626,27
85099C,JUMBO  BAG BAROQUE BLACK WHITE,59142.78,30657.0,1878,506,28
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,58652.7,18634.0,1427,701,29
22112,CHOCOLATE HOT WATER BOTTLE,57981.94,11065.0,1721,631,30
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,57318.71,27281.0,2192,658,31
82484,WOOD BLACK BOARD ANT WHITE FINISH,56745.73,9831.0,1176,451,32
22470,HEART OF WICKER LARGE,53506.13,17773.0,1952,827,33
22139,RETROSPOT TEA SET CERAMIC 11 PC,52843.01,10609.0,2093,941,34
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,52508.56,18670.0,2030,647,35
22178,VICTORIAN GLASS HANGING T-LIGHT,52382.82,40081.0,1816,593,36
21212,PACK OF 72 RETROSPOT CAKE CASES,51825.15,94884.0,3118,1115,37
22090,PAPER BUNTING RETROSPOT,50431.9,16698.0,1703,631,38
21733,RED HANGING HEART T-LIGHT HOLDER,50346.49,17575.0,1760,744,39
21181,PLEASE ONE PERSON METAL SIGN,50117.14,24732.0,1810,598,40
22111,SCOTTIE DOG HOT WATER BOTTLE,49771.94,9776.0,1689,717,41
21929,JUMBO BAG PINK VINTAGE PAISLEY,49651.99,25608.0,1619,504,42
22189,CREAM HEART CARD HOLDER,49300.94,16186.0,1299,536,43
21232,STRAWBERRY CERAMIC TRINKET POT,49300.57,37997.0,2435,689,44
84946,ANTIQUE SILVER T-LIGHT GLASS,49210.4,36696.0,1769,641,45
22469,HEART OF WICKER SMALL,48935.11,27908.0,2151,886,46
48194,DOORMAT HEARTS,48726.56,7726.0,1349,516,47
15056bl,EDWARDIAN PARASOL BLACK,48723.77,9620.0,944,321,48
21731,RED TOADSTOOL LED NIGHT LIGHT,48315.84,28910.0,1537,415,49
22457,NATURAL SLATE HEART CHALKBOARD,47288.23,15373.0,2046,874,50
82494L,WOODEN FRAME ANTIQUE WHITE,46967.09,15679.0,2059,631,51
21754,HOME BUILDING BLOCK WORD,46516.99,7595.0,2066,682,52
48187,DOORMAT NEW ENGLAND,46405.4,7314.0,1282,525,53
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,46202.52,24268.0,1542,450,54
21523,DOORMAT FANCY FONT HOME SWEET HOME,46083.71,6916.0,1122,357,55
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,9366.0,1914,1137,56
48185,DOORMAT FAIRY CAKE,45723.84,6822.0,983,317,57
20727,LUNCH BAG  BLACK SKULL.,45655.27,26678.0,2351,705,58
21623,VINTAGE UNION JACK MEMOBOARD,45402.18,6165.0,530,311,59
22355,CHARLOTTE BAG SUKI DESIGN,45377.56,31956.0,1742,393,60
71477,COLOURED GLASS STAR T-LIGHT HOLDER,44680.75,15089.0,809,302,61
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44257.74,15446.0,1391,439,62
21175,GIN AND TONIC DIET METAL SIGN,43851.48,20676.0,1659,553,63
84078A,SET/4 WHITE RETRO STORAGE CUBES,43844.96,1128.0,328,151,64
22383,LUNCH BAG SUKI DESIGN,43254.35,25058.0,2398,664,65
23298,SPOTTY BUNTING,43148.18,8466.0,1146,573,66
84029E,RED WOOLLY HOTTIE WHITE HEART.,42994.24,10628.0,1145,500,67
84997D,CHILDRENS CUTLERY POLKADOT PINK,42972.52,11024.0,1167,431,68
21915,RED  HARMONICA IN BOX,42664.54,36289.0,1025,467,69
20728,LUNCH BAG CARS BLUE,42270.3,24596.0,2067,702,70
23203,JUMBO BAG VINTAGE DOILY,42030.34,20485.0,1231,505,71
82482,WOODEN PICTURE FRAME WHITE FINISH,41837.6,16914.0,2006,601,72
20713,JUMBO BAG OWLS,40667.05,20814.0,1314,371,73
22083,PAPER CHAIN KIT RETROSPOT,40412.82,13716.0,1401,589,74
84997B,CHILDRENS CUTLERY RETROSPOT RED,38810.64,9771.0,1104,433,75
85066,CREAM SWEETHEART MINI CHEST,38599.98,3091.0,929,471,76
20726,LUNCH BAG WOODLAND,38506.74,22118.0,1926,585,77
22960,JAM MAKING SET WITH JARS,38380.11,9019.0,1159,583,78
22699,ROSES REGENCY TEACUP AND SAUCER,38249.5,13070.0,1424,524,79
21166,COOK WITH WINE METAL SIGN,38138.86,19932.0,1425,475,80
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487.0,728,378,81
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483.0,1385,640,82
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,38052.33,4728.0,1274,365,83
22629,SPACEBOY LUNCH BOX,37955.5,20807.0,1368,456,84
20712,JUMBO BAG WOODLAND ANIMALS,37499.37,17710.0,1415,387,85
21485,RETROSPOT HEART HOT WATER BOTTLE,37078.67,7593.0,1385,657,86
22727,ALARM CLOCK BAKELIKE RED,36543.77,9234.0,1363,473,87
22328,ROUND SNACK BOXES SET OF 4 FRUITS,36170.31,12959.0,1159,401,88
21524,DOORMAT SPOTTY HOME SWEET HOME,35955.44,5255.0,1150,474,89
84997C,CHILDRENS CUTLERY POLKADOT BLUE,35699.23,9151.0,1026,426,90
20724,RED RETROSPOT CHARLOTTE BAG,35190.21,32197.0,2035,524,91
21755,LOVE BUILDING BLOCK WORD,34836.02,5643.0,1696,661,92
22379,RECYCLING BAG RETROSPOT,34640.84,15765.0,1570,423,93
22384,LUNCH BAG PINK POLKADOT,34088.79,20783.0,2106,681,94
22382,LUNCH BAG SPACEBOY DESIGN,34071.97,20248.0,2153,790,95
22666,RECIPE BOX PANTRY YELLOW DESIGN,33682.62,10706.0,1657,701,96
22630,DOLLY GIRL LUNCH BOX,33380.83,18058.0,1333,423,97
15036,ASSORTED COLOURS SILK FAN,32967.03,44272.0,991,303,98
22726,ALARM CLOCK BAKELIKE GREEN,32609.32,7671.0,1273,404,99
22385,JUMBO BAG SPACEBOY DESIGN,32433.5,17057.0,1248,412,100
22077,6 RIBBONS RUSTIC CHARM,31513.11,17238.0,1751,685,101
85152,HAND OVER THE CHOCOLATE   SIGN,31483.7,16373.0,1460,486,102
22865,HAND WARMER OWL DESIGN,31416.04,14537.0,1212,566,103
85014B,RED RETROSPOT UMBRELLA,31268.0,6194.0,935,437,104
48184,DOORMAT ENGLISH ROSE,31142.63,4715.0,851,374,105
23245,SET OF 3 REGENCY CAKE TINS,31118.55,6345.0,873,472,106
21479,WHITE SKULL HOT WATER BOTTLE,31079.8,6219.0,930,410,107
23199,JUMBO BAG APPLES,30450.69,14908.0,978,344,108
